"Member.ID","Cross.Betweenness.Norm","Start.Date","End.Date"
"MEM0567",0,1949-01-01,1949-12-31
"MEM0471",0.310256861365236,1949-01-01,1949-12-31
"MEM0373",0,1949-01-01,1949-12-31
"MEM0236",0,1949-01-01,1949-12-31
"MEM0358",0,1949-01-01,1949-12-31
"MEM0359",0,1949-01-01,1949-12-31
"MEM0248",0,1949-01-01,1949-12-31
"MEM0286",0,1949-01-01,1949-12-31
"MEM0525",0.173459478916418,1949-01-01,1949-12-31
"MEM0254",0,1949-01-01,1949-12-31
"MEM0434",0,1949-01-01,1949-12-31
"MEM0417",0,1949-01-01,1949-12-31
"MEM0240",0.00471230158730159,1949-01-01,1949-12-31
"MEM0304",0,1949-01-01,1949-12-31
"MEM0477",0.363251866838689,1949-01-01,1949-12-31
"MEM0241",0,1949-01-01,1949-12-31
"MEM0554",0,1949-01-01,1949-12-31
"MEM0334",0,1949-01-01,1949-12-31
"MEM0468",0.336734693877551,1949-01-01,1949-12-31
"MEM0291",0,1949-01-01,1949-12-31
"MEM0378",0,1949-01-01,1949-12-31
"MEM0247",0,1949-01-01,1949-12-31
"MEM0251",0,1949-01-01,1949-12-31
"MEM0537",0,1949-01-01,1949-12-31
"MEM0543",0,1949-01-01,1949-12-31
"MEM0353",0,1949-01-01,1949-12-31
"MEM0423",0,1949-01-01,1949-12-31
"MEM0514",0,1949-01-01,1949-12-31
"MEM0518",0,1949-01-01,1949-12-31
"MEM0560",0,1949-01-01,1949-12-31
"MEM0388",0,1949-01-01,1949-12-31
"MEM0570",0,1949-01-01,1949-12-31
"MEM0158",0,1949-01-01,1949-12-31
"MEM0474",0,1949-01-01,1949-12-31
"MEM0336",0,1949-01-01,1949-12-31
"MEM0528",0,1949-01-01,1949-12-31
"MEM0226",0,1949-01-01,1949-12-31
"MEM0545",0,1949-01-01,1949-12-31
"MEM0481",0,1949-01-01,1949-12-31
"MEM0565",0,1949-01-01,1949-12-31
"MEM0047",0,1950-01-01,1950-12-31
"MEM0068",0.574482067721899,1950-01-01,1950-12-31
"MEM0111",0,1950-01-01,1950-12-31
"MEM0167",0,1950-01-01,1950-12-31
"MEM0199",0,1950-01-01,1950-12-31
"MEM0027",0,1950-01-01,1950-12-31
"MEM0048",0,1950-01-01,1950-12-31
"MEM0102",0,1950-01-01,1950-12-31
"MEM0101",0,1950-01-01,1950-12-31
"MEM0112",0,1950-01-01,1950-12-31
"MEM0140",0,1950-01-01,1950-12-31
"MEM0143",0,1950-01-01,1950-12-31
"MEM0149",0,1950-01-01,1950-12-31
"MEM0156",0,1950-01-01,1950-12-31
"MEM0165",0,1950-01-01,1950-12-31
"MEM0168",0,1950-01-01,1950-12-31
"MEM0188",0,1950-01-01,1950-12-31
"MEM0220",0.153901834897017,1950-01-01,1950-12-31
"MEM0225",0,1950-01-01,1950-12-31
